127.0.0.1 - - [14/May/2020:16:39:24 +0300] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [14/May/2020:16:39:26 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 3187
0:0:0:0:0:0:0:1 - - [14/May/2020:16:39:26 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:16:40:23 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2509
0:0:0:0:0:0:0:1 - - [14/May/2020:16:40:23 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [14/May/2020:16:40:28 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 3187
0:0:0:0:0:0:0:1 - - [14/May/2020:16:46:49 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 3187
0:0:0:0:0:0:0:1 - - [14/May/2020:16:47:27 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 3187
0:0:0:0:0:0:0:1 - - [14/May/2020:16:47:27 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:16:47:27 +0300] "GET /Asiakkaat/scripts/main.js HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [14/May/2020:16:48:03 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 3193
0:0:0:0:0:0:0:1 - - [14/May/2020:16:48:03 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:16:48:03 +0300] "GET /Asiakkaat/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:16:48:05 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 3193
0:0:0:0:0:0:0:1 - - [14/May/2020:16:48:05 +0300] "GET /Asiakkaat/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:16:48:05 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:16:51:40 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 3188
0:0:0:0:0:0:0:1 - - [14/May/2020:16:51:40 +0300] "GET /Asiakkaat/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:16:51:40 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:16:53:08 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 3189
0:0:0:0:0:0:0:1 - - [14/May/2020:16:53:08 +0300] "GET /Asiakkaat/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:16:53:08 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:16:53:47 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 3194
0:0:0:0:0:0:0:1 - - [14/May/2020:16:53:47 +0300] "GET /Asiakkaat/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:16:53:47 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:16:56:46 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 3194
0:0:0:0:0:0:0:1 - - [14/May/2020:16:56:46 +0300] "GET /Asiakkaat/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:16:56:46 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:17:01:26 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 3198
0:0:0:0:0:0:0:1 - - [14/May/2020:17:01:26 +0300] "GET /Asiakkaat/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:17:01:26 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:17:02:19 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 3218
0:0:0:0:0:0:0:1 - - [14/May/2020:17:02:19 +0300] "GET /Asiakkaat/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:17:02:19 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:17:10:56 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 3218
0:0:0:0:0:0:0:1 - - [14/May/2020:17:10:56 +0300] "GET /Asiakkaat/scripts/main.js HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [14/May/2020:17:10:56 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:17:13:11 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 3218
0:0:0:0:0:0:0:1 - - [14/May/2020:17:13:11 +0300] "GET /Asiakkaat/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:17:13:11 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:17:14:04 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 3218
0:0:0:0:0:0:0:1 - - [14/May/2020:17:14:04 +0300] "GET /Asiakkaat/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:17:14:04 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:18:35:55 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 3218
0:0:0:0:0:0:0:1 - - [14/May/2020:18:35:55 +0300] "GET /Asiakkaat/scripts/main.js HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [14/May/2020:18:35:55 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:18:35:57 +0300] "POST /Asiakkaat/asiakkaat HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [14/May/2020:18:36:50 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2509
0:0:0:0:0:0:0:1 - - [14/May/2020:18:36:50 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [14/May/2020:18:37:18 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 3218
0:0:0:0:0:0:0:1 - - [14/May/2020:18:37:18 +0300] "GET /Asiakkaat/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:18:37:57 +0300] "POST /Asiakkaat/asiakkaat HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [14/May/2020:18:38:47 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 3217
0:0:0:0:0:0:0:1 - - [14/May/2020:18:38:47 +0300] "GET /Asiakkaat/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:18:38:47 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:18:39:18 +0300] "POST /Asiakkaat/asiakkaat HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [14/May/2020:18:39:29 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2509
0:0:0:0:0:0:0:1 - - [14/May/2020:18:39:29 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [14/May/2020:19:21:24 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [14/May/2020:19:21:24 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [14/May/2020:19:22:45 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [14/May/2020:19:22:45 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:19:22:45 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [14/May/2020:19:24:30 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 3217
0:0:0:0:0:0:0:1 - - [14/May/2020:19:24:30 +0300] "GET /Asiakkaat/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:19:24:33 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2572
